PostId,PostCreationDate,OwnerUserId,OwnerCreationDate,ReputationAtPostCreation,OwnerUndeletedAnswerCountAtPostTime,Title,BodyMarkdown,Tag1,Tag2,Tag3,Tag4,Tag5,PostClosedDate,OpenStatus,OpenStatusInt,BodyLength,TitleLength,TitleConcatWithBody,NumberOfTags
4188387,11/15/2010 20:12:53,489069,10/27/2010 16:01:20,11,0,Accessing LDA parameters from Apache Mahout LDA package,"I have just tested using Apache Mahout for building an Latent dirichlet allocation model on a corpus of 30 documents. I did not have Hadoop installed on the system thats why a local execution of the Mahout yielded the resulting model. I would like to access the model parameters, as in the estimated \alpha, \beta, \Phi, \Theta 

How can I access these? 

<Mahout bin location>/mahout lda -i <tf-vectors location>/tf-vectors -o <lda-out-dir> -k 4-v 27 

I can see that <lda-out-dir> has folder <state-i> for each iteration(i presume) of the learning algorithm. Each <state-i> has a single file part-r-0000 which I do not know how to access.

Any help will be appreciated.

",apache,mahout,,,,,open,0,109,8,"Accessing LDA parameters from Apache Mahout LDA package I have just tested using Apache Mahout for building an Latent dirichlet allocation model on a corpus of 30 documents. I did not have Hadoop installed on the system thats why a local execution of the Mahout yielded the resulting model. I would like to access the model parameters, as in the estimated \alpha, \beta, \Phi, \Theta 

How can I access these? 

<Mahout bin location>/mahout lda -i <tf-vectors location>/tf-vectors -o <lda-out-dir> -k 4-v 27 

I can see that <lda-out-dir> has folder <state-i> for each iteration(i presume) of the learning algorithm. Each <state-i> has a single file part-r-0000 which I do not know how to access.

Any help will be appreciated.

",2
6825111,07/26/2011 04:02:22,450762,09/17/2010 15:54:55,1,1,Nginx Rewrite URL replacement for Apache rewrite,"How do I convert NGINX equivalent URL rewrite for the following:

RewriteRule ^read/([0-9]+)/?$ /read/?u=$1 [QSA,L]",apache,url,url-rewriting,nginx,,,open,0,14,7,"Nginx Rewrite URL replacement for Apache rewrite How do I convert NGINX equivalent URL rewrite for the following:

RewriteRule ^read/([0-9]+)/?$ /read/?u=$1 [QSA,L]",4
10245847,04/20/2012 12:01:02,847047,07/15/2011 19:15:57,43,1,mod_rewrite and extensionless files - how to force them?,"This is my .htaccess file for my development site, which has the domain www.mytestdomain.localhost (listed in my HOSTS file):

        php_value register_globals ""on""
    Options +FollowSymLinks
    
       RewriteEngine On
       RewriteCond %{SCRIPT_FILENAME} !-d
       RewriteRule ^([^\.]+)$ $1.php [NC,L]

It does work, extensionless URLs show up as I wanted... however, one question, how can I use mod_rewrite to force all URLs to have no extension, so if someone typed in
http://www.myexamplesite.co.uk/thepage.php it would redirect to 

http://www.myexamplesite.co.uk/thepage 

Any advice is appreciated, and I'm interested to see what works, as I can do some mod_rewrite, but need to learn a bit more.",apache,mod-rewrite,url-rewriting,,,,open,0,124,9,"mod_rewrite and extensionless files - how to force them? This is my .htaccess file for my development site, which has the domain www.mytestdomain.localhost (listed in my HOSTS file):

        php_value register_globals ""on""
    Options +FollowSymLinks
    
       RewriteEngine On
       RewriteCond %{SCRIPT_FILENAME} !-d
       RewriteRule ^([^\.]+)$ $1.php [NC,L]

It does work, extensionless URLs show up as I wanted... however, one question, how can I use mod_rewrite to force all URLs to have no extension, so if someone typed in
http://www.myexamplesite.co.uk/thepage.php it would redirect to 

http://www.myexamplesite.co.uk/thepage 

Any advice is appreciated, and I'm interested to see what works, as I can do some mod_rewrite, but need to learn a bit more.",3
5007863,02/15/2011 18:30:22,509670,11/16/2010 15:17:24,585,14,How to Setup My Own Directory Index Rules in htaccess to Allow/Block Special Folder Access?,"Imagine a I have folders inside it are a bunch of photos from my latest nude colony camp visit, and the extravagant shots in it and all, that I dont want just everyone to have access to when typing the main folder e.g. `www.website.org/photos/`   
While those who have direct link of the entire file, can have access:  
`www.website.org/photos/my_first_nude_colony_camp_visit_00281.jpg`

Now, is there any possibility, and if yes, whats the proper correct apache language, to have the following rules for my website using htaccess or other magical powers:

> RULE1: By default, block access to the ftp-lookalike-free-file listings to any and all folder contents.

> RULE2: When however a (hidden?) file named pass.port is present in that folder, then do allow ftp-lookalike free listing of all the contents. 

That way I can make exception to which folders I want to let BE visible, and which better NOT.  Thank you for your clues and suggestions!


",apache,.htaccess,indexing,special-folders,directoryindex,,open,0,153,15,"How to Setup My Own Directory Index Rules in htaccess to Allow/Block Special Folder Access? Imagine a I have folders inside it are a bunch of photos from my latest nude colony camp visit, and the extravagant shots in it and all, that I dont want just everyone to have access to when typing the main folder e.g. `www.website.org/photos/`   
While those who have direct link of the entire file, can have access:  
`www.website.org/photos/my_first_nude_colony_camp_visit_00281.jpg`

Now, is there any possibility, and if yes, whats the proper correct apache language, to have the following rules for my website using htaccess or other magical powers:

> RULE1: By default, block access to the ftp-lookalike-free-file listings to any and all folder contents.

> RULE2: When however a (hidden?) file named pass.port is present in that folder, then do allow ftp-lookalike free listing of all the contents. 

That way I can make exception to which folders I want to let BE visible, and which better NOT.  Thank you for your clues and suggestions!


",5
9656960,03/11/2012 17:04:57,733417,05/01/2011 15:38:34,1,0,Can I send mail via my computer if I install a smtp software on it?,"I want to send mails to customers of my company via my computer. Is this posibble? sending mails from computer, no server, no hosting no anything, only adsl and a computer?
I am a beginner-level asp.net and php developer, what must I do? I have written some code for sending mails and they work on hosting, how can I run them on my local network?",apache,iis,sending,,,07/09/2012 15:48:30,off topic,1,64,15,"Can I send mail via my computer if I install a smtp software on it? I want to send mails to customers of my company via my computer. Is this posibble? sending mails from computer, no server, no hosting no anything, only adsl and a computer?
I am a beginner-level asp.net and php developer, what must I do? I have written some code for sending mails and they work on hosting, how can I run them on my local network?",3
11140930,06/21/2012 14:57:58,408358,08/02/2010 06:24:51,364,37,Can ELB send requests from two different IPs simultaneously?,"I use mod_rpaf to get the real IPs in the logs. However, it requires load balancers IP. Earlier, I used to see the ""ELB-HealthChecker/1.0"" useragent to get the ELB's IP. But, strangely today I can see two health check requests every time on each of the instances from two different IPs.

Anyone faced a similar situation? Is this an expected behavior or some anamoly? ",apache,amazon-web-services,,,,,open,0,64,9,"Can ELB send requests from two different IPs simultaneously? I use mod_rpaf to get the real IPs in the logs. However, it requires load balancers IP. Earlier, I used to see the ""ELB-HealthChecker/1.0"" useragent to get the ELB's IP. But, strangely today I can see two health check requests every time on each of the instances from two different IPs.

Anyone faced a similar situation? Is this an expected behavior or some anamoly? ",2
8443985,12/09/2011 10:14:16,1089488,12/09/2011 09:53:18,1,0,Create SSL Client Certificate on different Web Server,"I have a web server (Apache) and configured a CA on this machine to create self-signed ssl client certificates (via openssl). Because the web server is in the DMZ, my question is: Is there any way to create the ssl client certs on a different machine (in the internal network) and can the web server in the DMZ be configured to use these certs?",apache,openssl,self-signed,dmz,,12/09/2011 16:25:51,off topic,1,64,8,"Create SSL Client Certificate on different Web Server I have a web server (Apache) and configured a CA on this machine to create self-signed ssl client certificates (via openssl). Because the web server is in the DMZ, my question is: Is there any way to create the ssl client certs on a different machine (in the internal network) and can the web server in the DMZ be configured to use these certs?",4
10481575,05/07/2012 11:50:30,1251004,03/05/2012 23:13:56,321,0,"Debian, apace. Log files eats up all disk space","I only have 32 GB disk space on my VPS, and currently the logfiles takes 26 GB. I found the files: access.log.1 and error.log.1, which is 17 gb together (var/log/apache2). 

Can I just remove these files to free up some space? 
Is it possible to stop the logging function? I know very litte about servers, and don't understand the logs anyways. 

Thanks ",apache,apache2,debian,,,05/07/2012 15:44:21,off topic,1,63,9,"Debian, apace. Log files eats up all disk space I only have 32 GB disk space on my VPS, and currently the logfiles takes 26 GB. I found the files: access.log.1 and error.log.1, which is 17 gb together (var/log/apache2). 

Can I just remove these files to free up some space? 
Is it possible to stop the logging function? I know very litte about servers, and don't understand the logs anyways. 

Thanks ",3
8415051,12/07/2011 12:06:59,1085492,12/07/2011 11:20:23,1,0,apache reverse proxy config,"Am new to Apache Proxy server config.

My setup is an apache reverse proxy in my DMZ connecting to a combined Web/App Server ( on the Lan).
I have the reverse proxy working - the problem is that the web/app server has many urls associated with it.

I wish to restrict the public access to just one url and any child urls coming from this.
Whilst retaining full access to all urls from within the lan

Any ideas?",apache,,,,,03/22/2012 23:07:43,off topic,1,73,4,"apache reverse proxy config Am new to Apache Proxy server config.

My setup is an apache reverse proxy in my DMZ connecting to a combined Web/App Server ( on the Lan).
I have the reverse proxy working - the problem is that the web/app server has many urls associated with it.

I wish to restrict the public access to just one url and any child urls coming from this.
Whilst retaining full access to all urls from within the lan

Any ideas?",1
11585959,07/20/2012 19:40:32,242751,01/03/2010 17:00:55,1157,12,Apache - Configuration overwritten? Where?,"I'm using Plesk 10.4 on my server and there is a config file which is loaded:

> /opt/psa/admin/conf/generated/13428096700.01562400_server.include

    <IfModule mod_ssl.c>

    <VirtualHost \
        IP.is.here:443 \
    >
        ServerName ""default-ip_is_here""
        UseCanonicalName Off
        DocumentRoot ""/var/www/vhosts/default/htdocs""
        ScriptAlias /cgi-bin/ ""/var/www/vhosts/default/cgi-bin""


        SSLEngine on
        SSLVerifyClient none
        SSLCertificateFile ""/opt/psa/var/certificates/certHzJ8180""


    </VirtualHost>

    </IfModule>

  
    <VirtualHost \
        IP.is.here:80 \
    >
        # The same settings just without the SSL settings
    </VirtualHost>


That looking like a general setting for SSL connections to my site.

Now I have my custom domain settings:

> /var/www/vhosts/domain.com/conf/13428096700.01562400_httpd.include

    <IfModule mod_ssl.c>
    <VirtualHost IP.is.here:443>
        ServerName ""domain.com:443""
        ServerAlias  ""www.domain.com""
        ServerAdmin  ""admin@domain.com""


        SSLEngine on
        SSLVerifyClient none
        SSLCertificateFile ""/opt/psa/var/certificates/domain.crt""
        SSLCertificateKeyFile ""/opt/psa/var/certificates/domain.key""
        SSLCertificateChainFile ""/opt/psa/var/certificates/domain.ca""


        # Some more settings which has nothing to do with SSL

    </VirtualHost>
    </IfModule>


Somehow it takes the outdated, self-signed Plesk certificate `certHzJ8180` instead of the real bought and foreign-signed certificate `domain.crt`. I also restarted the server, that couldn't be the reason.

Is there a way to see all loaded configuration files for Apache?
Maybe there are also other loaded files which overwrites the custom domain setting again?
Or what's the reason why the wrong certificate is loaded?",apache,ssl,apache2,ssl-certificate,plesk,07/21/2012 22:29:32,off topic,1,340,5,"Apache - Configuration overwritten? Where? I'm using Plesk 10.4 on my server and there is a config file which is loaded:

> /opt/psa/admin/conf/generated/13428096700.01562400_server.include

    <IfModule mod_ssl.c>

    <VirtualHost \
        IP.is.here:443 \
    >
        ServerName ""default-ip_is_here""
        UseCanonicalName Off
        DocumentRoot ""/var/www/vhosts/default/htdocs""
        ScriptAlias /cgi-bin/ ""/var/www/vhosts/default/cgi-bin""


        SSLEngine on
        SSLVerifyClient none
        SSLCertificateFile ""/opt/psa/var/certificates/certHzJ8180""


    </VirtualHost>

    </IfModule>

  
    <VirtualHost \
        IP.is.here:80 \
    >
        # The same settings just without the SSL settings
    </VirtualHost>


That looking like a general setting for SSL connections to my site.

Now I have my custom domain settings:

> /var/www/vhosts/domain.com/conf/13428096700.01562400_httpd.include

    <IfModule mod_ssl.c>
    <VirtualHost IP.is.here:443>
        ServerName ""domain.com:443""
        ServerAlias  ""www.domain.com""
        ServerAdmin  ""admin@domain.com""


        SSLEngine on
        SSLVerifyClient none
        SSLCertificateFile ""/opt/psa/var/certificates/domain.crt""
        SSLCertificateKeyFile ""/opt/psa/var/certificates/domain.key""
        SSLCertificateChainFile ""/opt/psa/var/certificates/domain.ca""


        # Some more settings which has nothing to do with SSL

    </VirtualHost>
    </IfModule>


Somehow it takes the outdated, self-signed Plesk certificate `certHzJ8180` instead of the real bought and foreign-signed certificate `domain.crt`. I also restarted the server, that couldn't be the reason.

Is there a way to see all loaded configuration files for Apache?
Maybe there are also other loaded files which overwrites the custom domain setting again?
Or what's the reason why the wrong certificate is loaded?",5
